id,sympy,natural_language
13942,"Exists(x, Implies(R(x), ForAll(w, V(w))))","There exists x such that if R(x) then for all w, V(w)."
13943,"ForAll(v, Or(Q(v), Exists(z, S(z))))","For all v, either Q(v) or there exists z such that S(z)."
13944,"ForAll(x, Implies(U(x), Or(V(x), S(x))))","For all x, if U(x) then V(x) or S(x)."
13945,"ForAll(x, Or(U(x), Exists(v, S(v))))","For all x, either U(x) or there exists v such that S(v)."
13946,"Exists(z, Implies(T(z), ForAll(y, T(y))))","There exists z such that if T(z) then for all y, T(y)."
13947,"ForAll(v, Implies(U(v), Or(S(v), V(v))))","For all v, if U(v) then S(v) or V(v)."
13948,"Exists(v, ForAll(x, Equivalent(T(v), O(v,x))))","There exists v such that for all x, T(v) iff O(v,x)."
13949,"ForAll(x, Or(U(x), Exists(u, S(u))))","For all x, either U(x) or there exists u such that S(u)."
13950,"ForAll(w, Implies(And(Q(w), U(w)), S(w)))","For all w, if Q(w) and U(w) then S(w)."
13951,"ForAll(w, Implies(And(Q(w), P(w)), R(w)))","For all w, if Q(w) and P(w) then R(w)."
13952,"ForAll(u, Implies(S(u), And(R(u), U(u))))","For all u, if S(u) then R(u) and U(u)."
13953,"ForAll(v, Or(T(v), Exists(u, Q(u))))","For all v, either T(v) or there exists u such that Q(u)."
13954,"ForAll(u, Or(Q(u), Exists(y, R(y))))","For all u, either Q(u) or there exists y such that R(y)."
13955,"ForAll(v, Implies(And(S(v), U(v)), S(v)))","For all v, if S(v) and U(v) then S(v)."
13956,"ForAll(z, Implies(And(U(z), V(z)), V(z)))","For all z, if U(z) and V(z) then V(z)."
13957,"ForAll(u, Implies(And(U(u), S(u)), T(u)))","For all u, if U(u) and S(u) then T(u)."
13958,"ForAll(w, Implies(And(Q(w), U(w)), U(w)))","For all w, if Q(w) and U(w) then U(w)."
13959,"Exists(v, Implies(T(v), ForAll(x, P(x))))","There exists v such that if T(v) then for all x, P(x)."
13960,"Exists(y, ForAll(v, Implies(O(y,v), R(v))))","There exists y such that for all v, if O(y,v) then R(v)."
13961,"ForAll(u, Implies(And(U(u), Q(u)), U(u)))","For all u, if U(u) and Q(u) then U(u)."
13962,"ForAll(w, Implies(V(w), Or(T(w), S(w))))","For all w, if V(w) then T(w) or S(w)."
13963,"ForAll(z, Or(P(z), Exists(x, Q(x))))","For all z, either P(z) or there exists x such that Q(x)."
13964,"Exists(v, Implies(R(v), ForAll(w, Q(w))))","There exists v such that if R(v) then for all w, Q(w)."
13965,"ForAll(v, Implies(And(V(v), V(v)), Q(v)))","For all v, if V(v) and V(v) then Q(v)."
13966,"ForAll(y, Implies(Exists(w, N(y,w)), V(y)))","For all y, if there exists w with N(y,w) then V(y)."
13967,"ForAll(u, Implies(And(U(u), S(u)), V(u)))","For all u, if U(u) and S(u) then V(u)."
13968,"ForAll(z, Implies(And(T(z), Q(z)), S(z)))","For all z, if T(z) and Q(z) then S(z)."
13969,"ForAll(y, Implies(T(y), Or(P(y), R(y))))","For all y, if T(y) then P(y) or R(y)."
13970,"ForAll(z, Or(U(z), Exists(y, P(y))))","For all z, either U(z) or there exists y such that P(y)."
13971,"ForAll(v, Implies(And(Q(v), U(v)), R(v)))","For all v, if Q(v) and U(v) then R(v)."
13972,"ForAll(u, Implies(P(u), Or(V(u), Q(u))))","For all u, if P(u) then V(u) or Q(u)."
13973,"ForAll(z, Implies(Q(z), Or(T(z), U(z))))","For all z, if Q(z) then T(z) or U(z)."
13974,"ForAll(y, Implies(And(U(y), S(y)), P(y)))","For all y, if U(y) and S(y) then P(y)."
13975,"ForAll(z, Implies(And(U(z), Q(z)), R(z)))","For all z, if U(z) and Q(z) then R(z)."
13976,"ForAll(z, Implies(R(z), Exists(y, N(z,y))))","For all z, if R(z) then there exists y such that N(z,y)."
13977,"ForAll(v, Implies(S(v), Or(P(v), S(v))))","For all v, if S(v) then P(v) or S(v)."
13978,"ForAll(z, Implies(Q(z), Or(T(z), P(z))))","For all z, if Q(z) then T(z) or P(z)."
13979,"Exists(x, ForAll(u, Implies(L(x,u), V(u))))","There exists x such that for all u, if L(x,u) then V(u)."
13980,"ForAll(z, Implies(And(P(z), U(z)), Q(z)))","For all z, if P(z) and U(z) then Q(z)."
13981,"ForAll(v, Implies(U(v), And(R(v), V(v))))","For all v, if U(v) then R(v) and V(v)."
13982,"ForAll(y, Implies(And(P(y), T(y)), Q(y)))","For all y, if P(y) and T(y) then Q(y)."
13983,"ForAll(v, Implies(And(Q(v), S(v)), Q(v)))","For all v, if Q(v) and S(v) then Q(v)."
13984,"ForAll(u, Implies(And(Q(u), R(u)), Q(u)))","For all u, if Q(u) and R(u) then Q(u)."
13985,"Exists(x, Exists(y, Exists(w, And(L(x,y), L(y,w)))))","There exist x, y, and w such that L(x,y) and L(y,w)."
13986,"ForAll(u, Implies(T(u), And(U(u), R(u))))","For all u, if T(u) then U(u) and R(u)."
13987,"ForAll(y, Implies(And(S(y), P(y)), Q(y)))","For all y, if S(y) and P(y) then Q(y)."
13988,"ForAll(x, Implies(Q(x), And(V(x), P(x))))","For all x, if Q(x) then V(x) and P(x)."
13989,"ForAll(w, Implies(P(w), Or(P(w), P(w))))","For all w, if P(w) then P(w) or P(w)."
13990,"Exists(w, Implies(S(w), ForAll(v, U(v))))","There exists w such that if S(w) then for all v, U(v)."
13991,"ForAll(x, Implies(S(x), Or(Q(x), Q(x))))","For all x, if S(x) then Q(x) or Q(x)."
13992,"ForAll(w, Or(Q(w), Exists(y, U(y))))","For all w, either Q(w) or there exists y such that U(y)."
13993,"Exists(y, Implies(S(y), ForAll(x, U(x))))","There exists y such that if S(y) then for all x, U(x)."
13994,"ForAll(y, Implies(V(y), And(Q(y), Q(y))))","For all y, if V(y) then Q(y) and Q(y)."
13995,"ForAll(u, Or(S(u), Exists(z, S(z))))","For all u, either S(u) or there exists z such that S(z)."
13996,"ForAll(z, Implies(V(z), And(R(z), V(z))))","For all z, if V(z) then R(z) and V(z)."
13997,"ForAll(w, Implies(V(w), Exists(u, O(w,u))))","For all w, if V(w) then there exists u such that O(w,u)."
13998,"ForAll(u, Implies(And(V(u), R(u)), U(u)))","For all u, if V(u) and R(u) then U(u)."
13999,"ForAll(u, Or(V(u), Exists(v, P(v))))","For all u, either V(u) or there exists v such that P(v)."
14000,"ForAll(z, Implies(S(z), Or(P(z), V(z))))","For all z, if S(z) then P(z) or V(z)."
14001,"Exists(z, Exists(u, And(N(z,u), V(z))))","There exist z and u such that N(z,u) and V(z)."
14002,"ForAll(v, Or(Q(v), Exists(z, R(z))))","For all v, either Q(v) or there exists z such that R(z)."
14003,"Exists(u, ForAll(y, Implies(M(u,y), P(y))))","There exists u such that for all y, if M(u,y) then P(y)."
14004,"ForAll(z, Implies(And(T(z), S(z)), S(z)))","For all z, if T(z) and S(z) then S(z)."
14005,"ForAll(w, Implies(U(w), And(U(w), S(w))))","For all w, if U(w) then U(w) and S(w)."
14006,"ForAll(x, Implies(And(V(x), S(x)), T(x)))","For all x, if V(x) and S(x) then T(x)."
14007,"ForAll(y, Or(R(y), Exists(v, T(v))))","For all y, either R(y) or there exists v such that T(v)."
14008,"ForAll(y, Implies(And(V(y), R(y)), P(y)))","For all y, if V(y) and R(y) then P(y)."
14009,"ForAll(w, Implies(P(w), And(P(w), R(w))))","For all w, if P(w) then P(w) and R(w)."
14010,"ForAll(x, Implies(R(x), And(P(x), P(x))))","For all x, if R(x) then P(x) and P(x)."
14011,"ForAll(y, Implies(And(V(y), S(y)), V(y)))","For all y, if V(y) and S(y) then V(y)."
14012,"ForAll(w, Implies(S(w), Exists(z, O(w,z))))","For all w, if S(w) then there exists z such that O(w,z)."
14013,"ForAll(v, Implies(And(Q(v), T(v)), T(v)))","For all v, if Q(v) and T(v) then T(v)."
14014,"ForAll(x, Implies(And(U(x), T(x)), R(x)))","For all x, if U(x) and T(x) then R(x)."
14015,"Exists(y, Exists(z, And(M(y,z), P(y))))","There exist y and z such that M(y,z) and P(y)."
14016,"ForAll(x, Implies(P(x), And(U(x), S(x))))","For all x, if P(x) then U(x) and S(x)."
14017,"ForAll(u, Implies(P(u), Or(T(u), Q(u))))","For all u, if P(u) then T(u) or Q(u)."
14018,"ForAll(z, Implies(And(P(z), V(z)), R(z)))","For all z, if P(z) and V(z) then R(z)."
14019,"ForAll(u, Or(Q(u), Exists(z, P(z))))","For all u, either Q(u) or there exists z such that P(z)."
14020,"ForAll(v, Implies(Q(v), And(S(v), V(v))))","For all v, if Q(v) then S(v) and V(v)."
14021,"ForAll(y, Implies(S(y), Or(S(y), T(y))))","For all y, if S(y) then S(y) or T(y)."
14022,"ForAll(u, Or(U(u), Exists(v, Q(v))))","For all u, either U(u) or there exists v such that Q(v)."
14023,"ForAll(z, Implies(And(S(z), V(z)), P(z)))","For all z, if S(z) and V(z) then P(z)."
14024,"ForAll(x, Implies(S(x), Or(S(x), Q(x))))","For all x, if S(x) then S(x) or Q(x)."
14025,"Exists(w, Implies(V(w), ForAll(v, P(v))))","There exists w such that if V(w) then for all v, P(v)."
14026,"ForAll(x, Implies(And(S(x), U(x)), Q(x)))","For all x, if S(x) and U(x) then Q(x)."
14027,"Exists(x, Implies(P(x), ForAll(v, T(v))))","There exists x such that if P(x) then for all v, T(v)."
14028,"ForAll(z, Implies(And(S(z), V(z)), Q(z)))","For all z, if S(z) and V(z) then Q(z)."
14029,"ForAll(x, Or(Q(x), Exists(y, Q(y))))","For all x, either Q(x) or there exists y such that Q(y)."
14030,"ForAll(u, Implies(And(T(u), V(u)), Q(u)))","For all u, if T(u) and V(u) then Q(u)."
14031,"ForAll(y, Implies(And(U(y), U(y)), T(y)))","For all y, if U(y) and U(y) then T(y)."
14032,"ForAll(u, Implies(And(T(u), V(u)), R(u)))","For all u, if T(u) and V(u) then R(u)."
14033,"ForAll(w, Implies(Q(w), Or(Q(w), P(w))))","For all w, if Q(w) then Q(w) or P(w)."
14034,"ForAll(y, Implies(And(Q(y), U(y)), S(y)))","For all y, if Q(y) and U(y) then S(y)."
14035,"ForAll(y, Implies(T(y), Or(U(y), T(y))))","For all y, if T(y) then U(y) or T(y)."
14036,"Exists(x, Implies(R(x), ForAll(z, S(z))))","There exists x such that if R(x) then for all z, S(z)."
14037,"ForAll(z, Implies(And(Q(z), S(z)), S(z)))","For all z, if Q(z) and S(z) then S(z)."
14038,"ForAll(v, Implies(T(v), And(V(v), U(v))))","For all v, if T(v) then V(v) and U(v)."
14039,"ForAll(w, Implies(Q(w), And(S(w), T(w))))","For all w, if Q(w) then S(w) and T(w)."
14040,"ForAll(u, Implies(V(u), And(P(u), P(u))))","For all u, if V(u) then P(u) and P(u)."
14041,"ForAll(y, Implies(V(y), Or(U(y), U(y))))","For all y, if V(y) then U(y) or U(y)."
14042,"Exists(u, And(Not(S(u)), Exists(w, N(u,w))))","There exists u such that not S(u) and there exists w with N(u,w)."
14043,"ForAll(w, Implies(T(w), And(R(w), U(w))))","For all w, if T(w) then R(w) and U(w)."
14044,"ForAll(w, Implies(And(T(w), S(w)), S(w)))","For all w, if T(w) and S(w) then S(w)."
14045,"ForAll(x, Implies(U(x), And(Q(x), P(x))))","For all x, if U(x) then Q(x) and P(x)."
14046,"Exists(z, Implies(S(z), ForAll(w, R(w))))","There exists z such that if S(z) then for all w, R(w)."
14047,"ForAll(y, Implies(Q(y), Exists(z, N(y,z))))","For all y, if Q(y) then there exists z such that N(y,z)."
14048,"Exists(v, Implies(R(v), ForAll(y, R(y))))","There exists v such that if R(v) then for all y, R(y)."
14049,"Exists(x, Implies(R(x), ForAll(v, R(v))))","There exists x such that if R(x) then for all v, R(v)."
14050,"ForAll(v, Implies(R(v), And(T(v), V(v))))","For all v, if R(v) then T(v) and V(v)."
14051,"ForAll(x, Implies(R(x), Exists(u, O(x,u))))","For all x, if R(x) then there exists u such that O(x,u)."
14052,"ForAll(y, Implies(P(y), Or(R(y), S(y))))","For all y, if P(y) then R(y) or S(y)."
14053,"ForAll(y, Or(V(y), Exists(u, P(u))))","For all y, either V(y) or there exists u such that P(u)."
14054,"ForAll(y, Implies(V(y), Or(P(y), Q(y))))","For all y, if V(y) then P(y) or Q(y)."
14055,"ForAll(y, Implies(U(y), Or(S(y), S(y))))","For all y, if U(y) then S(y) or S(y)."
14056,"ForAll(x, Or(U(x), Exists(w, Q(w))))","For all x, either U(x) or there exists w such that Q(w)."
14057,"ForAll(z, Implies(S(z), Or(Q(z), Q(z))))","For all z, if S(z) then Q(z) or Q(z)."
14058,"Exists(u, Implies(P(u), ForAll(y, P(y))))","There exists u such that if P(u) then for all y, P(y)."
14059,"ForAll(z, Implies(And(U(z), P(z)), V(z)))","For all z, if U(z) and P(z) then V(z)."
14060,"ForAll(w, Implies(Q(w), And(P(w), U(w))))","For all w, if Q(w) then P(w) and U(w)."
14061,"ForAll(x, Implies(S(x), Or(R(x), S(x))))","For all x, if S(x) then R(x) or S(x)."
14062,"Exists(z, Implies(T(z), ForAll(x, S(x))))","There exists z such that if T(z) then for all x, S(x)."
14063,"ForAll(v, Implies(Exists(x, M(v,x)), V(v)))","For all v, if there exists x with M(v,x) then V(v)."
14064,"ForAll(z, Or(P(z), Exists(v, V(v))))","For all z, either P(z) or there exists v such that V(v)."
14065,"ForAll(w, Implies(Q(w), And(U(w), U(w))))","For all w, if Q(w) then U(w) and U(w)."
14066,"Exists(z, ForAll(x, Equivalent(V(z), O(z,x))))","There exists z such that for all x, V(z) iff O(z,x)."
14067,"ForAll(z, Or(T(z), Exists(v, U(v))))","For all z, either T(z) or there exists v such that U(v)."
14068,"ForAll(z, Implies(Q(z), Or(P(z), R(z))))","For all z, if Q(z) then P(z) or R(z)."
14069,"ForAll(u, Or(Q(u), Exists(z, R(z))))","For all u, either Q(u) or there exists z such that R(z)."
14070,"Exists(x, And(Not(P(x)), Exists(v, M(x,v))))","There exists x such that not P(x) and there exists v with M(x,v)."
14071,"ForAll(u, Or(S(u), Exists(w, P(w))))","For all u, either S(u) or there exists w such that P(w)."
14072,"ForAll(x, Implies(P(x), And(Q(x), P(x))))","For all x, if P(x) then Q(x) and P(x)."
14073,"ForAll(y, Implies(And(R(y), U(y)), U(y)))","For all y, if R(y) and U(y) then U(y)."
14074,"Exists(v, Implies(P(v), ForAll(x, Q(x))))","There exists v such that if P(v) then for all x, Q(x)."
14075,"Exists(y, Implies(S(y), ForAll(z, Q(z))))","There exists y such that if S(y) then for all z, Q(z)."
14076,"ForAll(v, Implies(V(v), Or(Q(v), U(v))))","For all v, if V(v) then Q(v) or U(v)."
14077,"Exists(z, Implies(P(z), ForAll(w, P(w))))","There exists z such that if P(z) then for all w, P(w)."
14078,"Exists(z, Implies(S(z), ForAll(u, T(u))))","There exists z such that if S(z) then for all u, T(u)."
14079,"ForAll(y, Implies(T(y), Or(P(y), V(y))))","For all y, if T(y) then P(y) or V(y)."
14080,"ForAll(x, Or(Q(x), Exists(v, T(v))))","For all x, either Q(x) or there exists v such that T(v)."
14081,"ForAll(z, Implies(T(z), Or(T(z), R(z))))","For all z, if T(z) then T(z) or R(z)."
14082,"ForAll(x, Or(R(x), Exists(v, S(v))))","For all x, either R(x) or there exists v such that S(v)."
14083,"ForAll(x, Implies(V(x), And(V(x), U(x))))","For all x, if V(x) then V(x) and U(x)."
14084,"ForAll(u, Implies(And(Q(u), V(u)), Q(u)))","For all u, if Q(u) and V(u) then Q(u)."
14085,"ForAll(u, Implies(P(u), And(P(u), S(u))))","For all u, if P(u) then P(u) and S(u)."
14086,"ForAll(x, Implies(U(x), Or(R(x), P(x))))","For all x, if U(x) then R(x) or P(x)."
14087,"ForAll(z, Implies(R(z), And(R(z), U(z))))","For all z, if R(z) then R(z) and U(z)."
14088,"Exists(v, Implies(S(v), ForAll(w, U(w))))","There exists v such that if S(v) then for all w, U(w)."
14089,"ForAll(x, Implies(V(x), Or(U(x), V(x))))","For all x, if V(x) then U(x) or V(x)."
14090,"ForAll(y, Or(T(y), Exists(z, Q(z))))","For all y, either T(y) or there exists z such that Q(z)."
14091,"Exists(z, Implies(U(z), ForAll(y, U(y))))","There exists z such that if U(z) then for all y, U(y)."
14092,"ForAll(z, Implies(U(z), Or(U(z), V(z))))","For all z, if U(z) then U(z) or V(z)."
14093,"ForAll(u, Implies(T(u), Or(P(u), P(u))))","For all u, if T(u) then P(u) or P(u)."
14094,"ForAll(x, Or(V(x), Exists(u, R(u))))","For all x, either V(x) or there exists u such that R(u)."
14095,"ForAll(x, Implies(And(T(x), R(x)), R(x)))","For all x, if T(x) and R(x) then R(x)."
14096,"ForAll(w, Implies(Q(w), Or(U(w), V(w))))","For all w, if Q(w) then U(w) or V(w)."
14097,"Exists(z, ForAll(x, Implies(L(z,x), Q(x))))","There exists z such that for all x, if L(z,x) then Q(x)."
14098,"ForAll(z, Implies(T(z), Or(Q(z), U(z))))","For all z, if T(z) then Q(z) or U(z)."
14099,"ForAll(x, Implies(V(x), Or(U(x), P(x))))","For all x, if V(x) then U(x) or P(x)."
14100,"ForAll(w, Implies(Exists(y, N(w,y)), R(w)))","For all w, if there exists y with N(w,y) then R(w)."
14101,"ForAll(y, Implies(P(y), Or(S(y), Q(y))))","For all y, if P(y) then S(y) or Q(y)."
14102,"ForAll(x, Implies(T(x), And(U(x), V(x))))","For all x, if T(x) then U(x) and V(x)."
14103,"ForAll(z, Implies(Exists(v, M(z,v)), U(z)))","For all z, if there exists v with M(z,v) then U(z)."
14104,"ForAll(v, Implies(And(P(v), Q(v)), V(v)))","For all v, if P(v) and Q(v) then V(v)."
14105,"ForAll(w, Implies(And(T(w), U(w)), S(w)))","For all w, if T(w) and U(w) then S(w)."
14106,"ForAll(w, Or(V(w), Exists(u, S(u))))","For all w, either V(w) or there exists u such that S(u)."
14107,"ForAll(x, Implies(T(x), Exists(u, N(x,u))))","For all x, if T(x) then there exists u such that N(x,u)."
14108,"ForAll(x, Implies(And(T(x), V(x)), P(x)))","For all x, if T(x) and V(x) then P(x)."
14109,"ForAll(y, Implies(P(y), Or(R(y), Q(y))))","For all y, if P(y) then R(y) or Q(y)."
14110,"ForAll(w, Implies(P(w), Or(Q(w), S(w))))","For all w, if P(w) then Q(w) or S(w)."
14111,"ForAll(y, Implies(P(y), And(P(y), U(y))))","For all y, if P(y) then P(y) and U(y)."
14112,"ForAll(w, Implies(S(w), And(V(w), Q(w))))","For all w, if S(w) then V(w) and Q(w)."
14113,"ForAll(v, Or(Q(v), Exists(w, S(w))))","For all v, either Q(v) or there exists w such that S(w)."
14114,"ForAll(w, Implies(And(T(w), T(w)), P(w)))","For all w, if T(w) and T(w) then P(w)."
14115,"ForAll(z, Implies(P(z), Or(P(z), R(z))))","For all z, if P(z) then P(z) or R(z)."
14116,"Exists(w, Implies(R(w), ForAll(u, R(u))))","There exists w such that if R(w) then for all u, R(u)."
14117,"Exists(v, Exists(u, And(M(v,u), S(v))))","There exist v and u such that M(v,u) and S(v)."
14118,"ForAll(z, Or(V(z), Exists(y, S(y))))","For all z, either V(z) or there exists y such that S(y)."
14119,"Exists(z, Implies(V(z), ForAll(y, V(y))))","There exists z such that if V(z) then for all y, V(y)."
14120,"ForAll(z, Or(V(z), Exists(u, Q(u))))","For all z, either V(z) or there exists u such that Q(u)."
14121,"ForAll(u, Implies(P(u), And(S(u), P(u))))","For all u, if P(u) then S(u) and P(u)."
14122,"ForAll(v, Implies(V(v), Or(P(v), T(v))))","For all v, if V(v) then P(v) or T(v)."
14123,"ForAll(u, Implies(R(u), And(Q(u), V(u))))","For all u, if R(u) then Q(u) and V(u)."
14124,"Exists(w, Implies(P(w), ForAll(x, P(x))))","There exists w such that if P(w) then for all x, P(x)."
14125,"ForAll(y, Implies(P(y), And(P(y), S(y))))","For all y, if P(y) then P(y) and S(y)."
14126,"ForAll(x, Implies(U(x), Exists(u, L(x,u))))","For all x, if U(x) then there exists u such that L(x,u)."
14127,"ForAll(w, Or(U(w), Exists(u, V(u))))","For all w, either U(w) or there exists u such that V(u)."
14128,"ForAll(x, Implies(T(x), And(T(x), Q(x))))","For all x, if T(x) then T(x) and Q(x)."
14129,"ForAll(u, Implies(S(u), And(R(u), Q(u))))","For all u, if S(u) then R(u) and Q(u)."
14130,"Exists(z, Implies(T(z), ForAll(v, R(v))))","There exists z such that if T(z) then for all v, R(v)."
14131,"ForAll(w, Implies(Exists(x, L(w,x)), P(w)))","For all w, if there exists x with L(w,x) then P(w)."
14132,"Exists(u, Exists(x, And(O(u,x), V(u))))","There exist u and x such that O(u,x) and V(u)."
14133,"ForAll(y, Implies(V(y), And(U(y), R(y))))","For all y, if V(y) then U(y) and R(y)."
14134,"Exists(w, And(Not(P(w)), Exists(x, O(w,x))))","There exists w such that not P(w) and there exists x with O(w,x)."
14135,"Exists(v, ForAll(y, Implies(M(v,y), T(y))))","There exists v such that for all y, if M(v,y) then T(y)."
14136,"ForAll(u, Implies(Q(u), And(S(u), R(u))))","For all u, if Q(u) then S(u) and R(u)."
14137,"ForAll(x, Implies(V(x), Or(Q(x), V(x))))","For all x, if V(x) then Q(x) or V(x)."
14138,"ForAll(w, Or(U(w), Exists(u, S(u))))","For all w, either U(w) or there exists u such that S(u)."
14139,"ForAll(z, Implies(And(T(z), R(z)), R(z)))","For all z, if T(z) and R(z) then R(z)."
14140,"ForAll(y, Implies(R(y), And(T(y), V(y))))","For all y, if R(y) then T(y) and V(y)."
14141,"ForAll(v, Implies(P(v), Or(Q(v), Q(v))))","For all v, if P(v) then Q(v) or Q(v)."
14142,"ForAll(z, Implies(V(z), And(V(z), U(z))))","For all z, if V(z) then V(z) and U(z)."
14143,"ForAll(w, Implies(V(w), Or(P(w), U(w))))","For all w, if V(w) then P(w) or U(w)."
14144,"ForAll(z, Implies(Q(z), And(Q(z), S(z))))","For all z, if Q(z) then Q(z) and S(z)."
14145,"ForAll(z, Or(V(z), Exists(v, P(v))))","For all z, either V(z) or there exists v such that P(v)."
14146,"Exists(w, ForAll(z, Equivalent(Q(w), N(w,z))))","There exists w such that for all z, Q(w) iff N(w,z)."
14147,"ForAll(z, Implies(R(z), And(T(z), Q(z))))","For all z, if R(z) then T(z) and Q(z)."
14148,"Exists(u, Implies(T(u), ForAll(y, S(y))))","There exists u such that if T(u) then for all y, S(y)."
14149,"Exists(y, Implies(V(y), ForAll(u, S(u))))","There exists y such that if V(y) then for all u, S(u)."
14150,"ForAll(w, Implies(S(w), And(S(w), S(w))))","For all w, if S(w) then S(w) and S(w)."
14151,"ForAll(w, Implies(R(w), Or(V(w), V(w))))","For all w, if R(w) then V(w) or V(w)."
14152,"ForAll(v, Implies(P(v), Or(Q(v), U(v))))","For all v, if P(v) then Q(v) or U(v)."
14153,"ForAll(v, Or(T(v), Exists(y, V(y))))","For all v, either T(v) or there exists y such that V(y)."
14154,"ForAll(u, Implies(And(T(u), T(u)), T(u)))","For all u, if T(u) and T(u) then T(u)."
14155,"ForAll(x, Implies(And(R(x), V(x)), P(x)))","For all x, if R(x) and V(x) then P(x)."
14156,"ForAll(v, Implies(R(v), Or(U(v), V(v))))","For all v, if R(v) then U(v) or V(v)."
14157,"Exists(v, ForAll(w, Equivalent(T(v), M(v,w))))","There exists v such that for all w, T(v) iff M(v,w)."
14158,"Exists(z, Implies(R(z), ForAll(x, S(x))))","There exists z such that if R(z) then for all x, S(x)."
14159,"ForAll(u, Implies(And(S(u), V(u)), P(u)))","For all u, if S(u) and V(u) then P(u)."
14160,"Exists(y, ForAll(z, Implies(L(y,z), T(z))))","There exists y such that for all z, if L(y,z) then T(z)."
14161,"Exists(x, Implies(V(x), ForAll(v, P(v))))","There exists x such that if V(x) then for all v, P(v)."
14162,"ForAll(x, Implies(And(Q(x), V(x)), U(x)))","For all x, if Q(x) and V(x) then U(x)."
14163,"ForAll(z, Or(V(z), Exists(v, Q(v))))","For all z, either V(z) or there exists v such that Q(v)."
14164,"ForAll(z, Implies(U(z), Or(Q(z), T(z))))","For all z, if U(z) then Q(z) or T(z)."
14165,"ForAll(u, Or(U(u), Exists(x, T(x))))","For all u, either U(u) or there exists x such that T(x)."
14166,"ForAll(u, Or(S(u), Exists(z, U(z))))","For all u, either S(u) or there exists z such that U(z)."
14167,"ForAll(u, Implies(And(S(u), U(u)), V(u)))","For all u, if S(u) and U(u) then V(u)."
14168,"ForAll(v, Implies(V(v), Or(P(v), P(v))))","For all v, if V(v) then P(v) or P(v)."
14169,"ForAll(u, Implies(P(u), And(Q(u), V(u))))","For all u, if P(u) then Q(u) and V(u)."
14170,"ForAll(w, Implies(Q(w), Or(P(w), S(w))))","For all w, if Q(w) then P(w) or S(w)."
14171,"Exists(v, Implies(R(v), ForAll(u, Q(u))))","There exists v such that if R(v) then for all u, Q(u)."
14172,"ForAll(y, Implies(S(y), And(S(y), V(y))))","For all y, if S(y) then S(y) and V(y)."
14173,"ForAll(y, Implies(And(R(y), S(y)), S(y)))","For all y, if R(y) and S(y) then S(y)."
14174,"Exists(w, Exists(v, And(L(w,v), T(w))))","There exist w and v such that L(w,v) and T(w)."
14175,"ForAll(v, Implies(R(v), Or(V(v), S(v))))","For all v, if R(v) then V(v) or S(v)."
14176,"ForAll(y, Implies(V(y), Or(S(y), U(y))))","For all y, if V(y) then S(y) or U(y)."
14177,"ForAll(v, Implies(Q(v), Exists(w, O(v,w))))","For all v, if Q(v) then there exists w such that O(v,w)."
14178,"ForAll(y, Or(P(y), Exists(v, T(v))))","For all y, either P(y) or there exists v such that T(v)."
14179,"Exists(v, Implies(P(v), ForAll(x, T(x))))","There exists v such that if P(v) then for all x, T(x)."
14180,"ForAll(u, Implies(Q(u), Or(S(u), U(u))))","For all u, if Q(u) then S(u) or U(u)."
14181,"ForAll(y, Implies(And(V(y), Q(y)), T(y)))","For all y, if V(y) and Q(y) then T(y)."
14182,"ForAll(x, Or(U(x), Exists(u, Q(u))))","For all x, either U(x) or there exists u such that Q(u)."
14183,"ForAll(u, Implies(S(u), And(P(u), T(u))))","For all u, if S(u) then P(u) and T(u)."
14184,"ForAll(w, Or(V(w), Exists(x, P(x))))","For all w, either V(w) or there exists x such that P(x)."
14185,"ForAll(z, Implies(Q(z), And(V(z), U(z))))","For all z, if Q(z) then V(z) and U(z)."
14186,"ForAll(y, Implies(And(P(y), Q(y)), R(y)))","For all y, if P(y) and Q(y) then R(y)."
14187,"Exists(y, Exists(w, And(N(y,w), S(y))))","There exist y and w such that N(y,w) and S(y)."
14188,"ForAll(y, Implies(S(y), Or(V(y), S(y))))","For all y, if S(y) then V(y) or S(y)."
14189,"ForAll(w, Implies(V(w), And(V(w), Q(w))))","For all w, if V(w) then V(w) and Q(w)."
14190,"ForAll(z, Implies(Q(z), Or(Q(z), T(z))))","For all z, if Q(z) then Q(z) or T(z)."
14191,"ForAll(w, Implies(P(w), And(S(w), P(w))))","For all w, if P(w) then S(w) and P(w)."
14192,"ForAll(z, Implies(R(z), And(Q(z), S(z))))","For all z, if R(z) then Q(z) and S(z)."
14193,"ForAll(u, Implies(And(S(u), U(u)), T(u)))","For all u, if S(u) and U(u) then T(u)."
14194,"ForAll(w, Or(V(w), Exists(y, P(y))))","For all w, either V(w) or there exists y such that P(y)."
14195,"ForAll(v, Implies(T(v), And(Q(v), Q(v))))","For all v, if T(v) then Q(v) and Q(v)."
14196,"ForAll(y, Implies(Exists(z, M(y,z)), R(y)))","For all y, if there exists z with M(y,z) then R(y)."
14197,"Exists(v, Implies(S(v), ForAll(w, T(w))))","There exists v such that if S(v) then for all w, T(w)."
14198,"Exists(x, Implies(P(x), ForAll(w, Q(w))))","There exists x such that if P(x) then for all w, Q(w)."
14199,"ForAll(y, Implies(R(y), Or(P(y), U(y))))","For all y, if R(y) then P(y) or U(y)."
14200,"ForAll(v, Implies(V(v), And(S(v), V(v))))","For all v, if V(v) then S(v) and V(v)."
