expression,english_description
"Less(u,y)",U is less than y
"¬Subset(z,z)",It is not the case that z is a subset of z
(∃w (Student(w) ∧ Human(g(2))) ∨ ¬(Prime(x) ∧ Dog(x))),There exists w such that w is a student and g(2) is a human or It is not the case that x is prime and x is a dog
(Prime(b) ↔ y = y),B is prime if and only if y equals y
"Greater(y,f(1))",Y is greater than f(1)
"((Member(y,b) ↔ (Human(x) ∧ Even(2))) → Equal(0,u))","If y is a member of b if and only if x is a human and 2 is even, then 0 is equal to u"
"∃y (Even(y) ∧ ((Equal(u,f(b)) ↔ Prime(v)) → g(u) = g(x)))","There exists y such that y is even and if u is equal to f(b) if and only if v is prime, then g(u) equals g(x)"
"∀u (Cat(u) → ∀u ∀v (Cat(v) → Loves(a,g(x))))","For every u, if u is a cat, then For every u, For every v, if v is a cat, then a loves g(x)"
∀u ∀v (Student(v) → ∀x (Dog(x) → Dog(b))),"For every u, For every v, if v is a student, then For every x, if x is a dog, then b is a dog"
¬∀z Cat(0),"It is not the case that For every z, 0 is a cat"
∃x (Professor(x) ∧ 1 = x),There exists x such that x is a professor and 1 equals x
"(Even(w) ↔ (Cat(x) ∧ ∃w (Even(w) ∧ Greater(1,h(b)))))",W is even if and only if x is a cat and There exists w such that w is even and 1 is greater than h(b)
"∃z ∃w ¬Likes(x,0)","There exists z, There exists w, It is not the case that x likes 0"
"(∃u (0 = w → Member(x,g(x))) ∨ ¬Equal(v,z))","There exists u, if 0 equals w, then x is a member of g(x) or It is not the case that v is equal to z"
"(Animal(2) ∨ Knows(x,g(x)))",2 is an animal or x knows g(x)
"¬((Member(u,w) → Dog(f(b))) ∨ ∃w (Prime(w) ∧ Dog(v)))","It is not the case that if u is a member of w, then f(b) is a dog or There exists w such that w is prime and v is a dog"
"((Dog(x) ↔ ParentOf(0,u)) ∧ ((Professor(w) ↔ Subset(x,h(f(c)))) → (Greater(1,v) ↔ Knows(u,0))))","X is a dog if and only if 0 is a parent of u and if w is a professor if and only if x is a subset of h(f(c)), then 1 is greater than v if and only if u knows 0"
"(∃z (Odd(z) ∧ (g(z) = g(x) → ParentOf(c,h(w)))) ∨ y = 1)","There exists z such that z is odd and if g(z) equals g(x), then c is a parent of h(w) or y equals 1"
"¬((Dog(u) ∧ Subset(f(u),y)) ∧ Loves(z,f(2)))",It is not the case that u is a dog and f(u) is a subset of y and z loves f(2)
"(Professor(x) ∧ Friend(f(f(0)),x))",X is a professor and f(f(0)) is a friend of x
∀y ¬∀v (Mortal(v) → Mortal(f(y))),"For every y, It is not the case that For every v, if v is mortal, then f(y) is mortal"
"∃x (Odd(x) ∧ ((Human(w) → Prime(x)) ↔ Equal(g(x),c)))","There exists x such that x is odd and if w is a human, then x is prime if and only if g(x) is equal to c"
"∀w (Student(w) → ParentOf(1,w))","For every w, if w is a student, then 1 is a parent of w"
"(∀w Equal(x,y) ↔ (∀v v = g(z) ↔ (Likes(0,u) ∧ Even(a))))","For every w, x is equal to y if and only if For every v, v equals g(z) if and only if 0 likes u and a is even"
"(Loves(c,u) → w = z)","If c loves u, then w equals z"
h(g(v)) = w,H(g(v)) equals w
"(∀v (Odd(v) → ∀w (Odd(w) → Knows(v,2))) ∧ Less(w,c))","For every v, if v is odd, then For every w, if w is odd, then v knows 2 and w is less than c"
"∀y (Professor(y) → ∀x (Student(x) → Loves(v,v)))","For every y, if y is a professor, then For every x, if x is a student, then v loves v"
"(((u = 0 ∧ Subset(x,g(b))) ∧ ∃y (Prime(y) ∧ Even(2))) → ∃v (Professor(v) ∧ (w = v → Human(f(v)))))","If u equals 0 and x is a subset of g(b) and There exists y such that y is prime and 2 is even, then There exists v such that v is a professor and if w equals v, then f(v) is a human"
(∀z (Prime(z) → ¬f(x) = x) ∧ ¬Professor(f(a))),"For every z, if z is prime, then It is not the case that f(x) equals x and It is not the case that f(a) is a professor"
"∀v (Dog(v) → ((Subset(x,w) → Cat(w)) ∧ ∃w Animal(b)))","For every v, if v is a dog, then if x is a subset of w, then w is a cat and There exists w, b is an animal"
"∀x (Mortal(x) → (¬Friend(u,c) ∧ x = v))","For every x, if x is mortal, then It is not the case that u is a friend of c and x equals v"
¬a = h(w),It is not the case that a equals h(w)
"((∃u (Mortal(u) ∧ Equal(w,y)) → ¬Greater(h(z),z)) ↔ (Knows(u,w) ∨ Less(z,a)))","If There exists u such that u is mortal and w is equal to y, then It is not the case that h(z) is greater than z if and only if u knows w or z is less than a"
"∀z ((Student(a) ↔ Dog(2)) → ¬Subset(a,y))","For every z, if a is a student if and only if 2 is a dog, then It is not the case that a is a subset of y"
"(Greater(y,y) ∧ ∀u (Professor(u) → Prime(0)))","Y is greater than y and For every u, if u is a professor, then 0 is prime"
(Prime(x) ∧ ¬(Even(b) → h(w) = 0)),"X is prime and It is not the case that if b is even, then h(w) equals 0"
¬∀v Prime(w),"It is not the case that For every v, w is prime"
"¬(¬Less(f(1),a) ↔ ¬Odd(v))",It is not the case that It is not the case that f(1) is less than a if and only if It is not the case that v is odd
"¬((Member(v,g(y)) ∨ Member(v,b)) ∧ ∀w (Human(w) → Equal(z,f(x))))","It is not the case that v is a member of g(y) or v is a member of b and For every w, if w is a human, then z is equal to f(x)"
"(∀v (Odd(v) → ¬Mortal(x)) → (∃z (Professor(z) ∧ Likes(v,w)) → ∃u (Even(u) ∧ Knows(f(1),v))))","If For every v, if v is odd, then It is not the case that x is mortal, then if There exists z such that z is a professor and v likes w, then There exists u such that u is even and f(1) knows v"
"(∀x (Dog(x) → ∀z Loves(w,c)) ∧ ¬¬ParentOf(z,a))","For every x, if x is a dog, then For every z, w loves c and It is not the case that It is not the case that z is a parent of a"
∃x (Mortal(x) ∧ ∃v (Dog(v) ∧ ¬y = a)),There exists x such that x is mortal and There exists v such that v is a dog and It is not the case that y equals a
"¬∀y ∃z Loves(v,y)","It is not the case that For every y, There exists z, v loves y"
∀u (Dog(u) → ∀v (Human(v) → Cat(f(u)))),"For every u, if u is a dog, then For every v, if v is a human, then f(u) is a cat"
"(((Mortal(h(w)) ∨ h(z) = u) ↔ ∃z (Student(z) ∧ Student(v))) → Loves(g(u),v))","If h(w) is mortal or h(z) equals u if and only if There exists z such that z is a student and v is a student, then g(u) loves v"
"(∀w Subset(f(a),w) ∨ ¬(1 = 1 ↔ Animal(z)))","For every w, f(a) is a subset of w or It is not the case that 1 equals 1 if and only if z is an animal"
"ParentOf(u,h(w))",U is a parent of h(w)
(Dog(1) ∨ ¬(x = u ∧ u = 2)),1 is a dog or It is not the case that x equals u and u equals 2
"(∀w (Professor(w) → Even(x)) ∨ ¬Friend(w,u))","For every w, if w is a professor, then x is even or It is not the case that w is a friend of u"
"((Prime(c) ∧ ∀w (Dog(w) → Likes(h(z),x))) ↔ (∀z (Even(z) → Animal(2)) ↔ ∃w (Cat(w) ∧ z = h(a))))","C is prime and For every w, if w is a dog, then h(z) likes x if and only if For every z, if z is even, then 2 is an animal if and only if There exists w such that w is a cat and z equals h(a)"
"¬∀x Greater(f(w),v)","It is not the case that For every x, f(w) is greater than v"
"(∀v (Even(v) → (Animal(a) ∧ Greater(x,0))) ↔ ∃v (Dog(v) ∧ ¬Professor(b)))","For every v, if v is even, then a is an animal and x is greater than 0 if and only if There exists v such that v is a dog and It is not the case that b is a professor"
∀w (Mortal(u) ↔ ¬Prime(v)),"For every w, u is mortal if and only if It is not the case that v is prime"
"¬∃w (Prime(w) ∧ ∃x (Dog(x) ∧ Member(1,u)))",It is not the case that There exists w such that w is prime and There exists x such that x is a dog and 1 is a member of u
∀w ∃w (Professor(w) ∧ Odd(g(u))),"For every w, There exists w such that w is a professor and g(u) is odd"
∃u (Dog(z) → Cat(g(y))),"There exists u, if z is a dog, then g(y) is a cat"
"¬∀x ¬Subset(x,1)","It is not the case that For every x, It is not the case that x is a subset of 1"
"Less(c,u)",C is less than u
"Member(f(z),f(z))",F(z) is a member of f(z)
∃u (Cat(u) ∧ ∀w ∃y (Student(y) ∧ Professor(h(w)))),"There exists u such that u is a cat and For every w, There exists y such that y is a student and h(w) is a professor"
"¬¬Friend(v,h(x))",It is not the case that It is not the case that v is a friend of h(x)
"((g(0) = w ↔ ∀x (Even(x) → Likes(h(y),a))) ∧ c = b)","G(0) equals w if and only if For every x, if x is even, then h(y) likes a and c equals b"
"(Greater(u,w) ∧ ∀x (Even(x) → v = g(v)))","U is greater than w and For every x, if x is even, then v equals g(v)"
∃x (Even(x) ∧ Animal(v)),There exists x such that x is even and v is an animal
"((Likes(v,y) ∨ ¬Friend(g(w),w)) → Animal(b))","If v likes y or It is not the case that g(w) is a friend of w, then b is an animal"
"((Member(f(w),b) ↔ ¬Friend(g(v),h(x))) ∧ ∃z Knows(c,0))","F(w) is a member of b if and only if It is not the case that g(v) is a friend of h(x) and There exists z, c knows 0"
"∃x (Cat(x) ∧ ∀w (Student(w) → (Knows(g(u),x) ∧ y = a)))","There exists x such that x is a cat and For every w, if w is a student, then g(u) knows x and y equals a"
"(¬¬Cat(z) ∨ Member(0,c))",It is not the case that It is not the case that z is a cat or 0 is a member of c
"∀x (Animal(x) → ∃x (Animal(x) ∧ ∀u Loves(z,u)))","For every x, if x is an animal, then There exists x such that x is an animal and For every u, z loves u"
¬∀z (Cat(z) → (f(v) = 0 ↔ Student(x))),"It is not the case that For every z, if z is a cat, then f(v) equals 0 if and only if x is a student"
∀w (Professor(w) → ¬Student(2)),"For every w, if w is a professor, then It is not the case that 2 is a student"
¬h(2) = g(g(w)),It is not the case that h(2) equals g(g(w))
h(u) = w,H(u) equals w
"¬(Loves(u,x) ↔ Prime(w))",It is not the case that u loves x if and only if w is prime
"∀v (Animal(v) → (∀u (Odd(u) → ParentOf(v,c)) ↔ (Friend(1,x) ∧ Likes(z,v))))","For every v, if v is an animal, then For every u, if u is odd, then v is a parent of c if and only if 1 is a friend of x and z likes v"
"(∀y Human(c) → (Loves(g(z),1) ↔ (Odd(w) → Equal(w,h(2)))))","If For every y, c is a human, then g(z) loves 1 if and only if if w is odd, then w is equal to h(2)"
"(¬(Likes(g(u),0) → Odd(g(x))) ↔ ¬¬Loves(y,z))","It is not the case that if g(u) likes 0, then g(x) is odd if and only if It is not the case that It is not the case that y loves z"
"(∀y (Student(y) → ∃z (Student(z) ∧ Professor(u))) ∧ ¬¬Knows(x,y))","For every y, if y is a student, then There exists z such that z is a student and u is a professor and It is not the case that It is not the case that x knows y"
"Knows(f(g(f(a))),f(v))",F(g(f(a))) knows f(v)
"¬Knows(g(g(0)),h(u))",It is not the case that g(g(0)) knows h(u)
∃y (Student(y) ∧ Human(y)),There exists y such that y is a student and y is a human
"ParentOf(y,x)",Y is a parent of x
"∃x ((Professor(f(x)) ∨ Knows(2,2)) → (Odd(c) ∧ Greater(0,w)))","There exists x, if f(x) is a professor or 2 knows 2, then c is odd and 0 is greater than w"
(∃v (Animal(v) ∧ ∃w a = x) ∧ ¬∀z (Cat(z) → Mortal(x))),"There exists v such that v is an animal and There exists w, a equals x and It is not the case that For every z, if z is a cat, then x is mortal"
"((0 = 2 → ∀z Dog(w)) ↔ ParentOf(g(g(y)),x))","If 0 equals 2, then For every z, w is a dog if and only if g(g(y)) is a parent of x"
∀x (Prime(x) → (f(z) = x → ∀z (Mortal(z) → Student(y)))),"For every x, if x is prime, then if f(z) equals x, then For every z, if z is mortal, then y is a student"
"¬(Greater(v,g(c)) ∨ (ParentOf(g(g(v)),x) ∧ Dog(h(u))))",It is not the case that v is greater than g(c) or g(g(v)) is a parent of x and h(u) is a dog
"∃z (∃z (Cat(z) ∧ b = y) → ¬Loves(0,f(g(2))))","There exists z, if There exists z such that z is a cat and b equals y, then It is not the case that 0 loves f(g(2))"
((¬Mortal(g(g(u))) → ∀w (Human(w) → Human(g(z)))) ∨ Human(a)),"If It is not the case that g(g(u)) is mortal, then For every w, if w is a human, then g(z) is a human or a is a human"
¬∀u ∀w (Odd(w) → Mortal(w)),"It is not the case that For every u, For every w, if w is odd, then w is mortal"
"¬Friend(f(w),b)",It is not the case that f(w) is a friend of b
"∀x (Prime(x) → Greater(f(z),g(v)))","For every x, if x is prime, then f(z) is greater than g(v)"
"(∃z (Even(z) ∧ Less(u,x)) ∧ b = h(0))",There exists z such that z is even and u is less than x and b equals h(0)
∀z (Student(z) → ¬¬a = g(v)),"For every z, if z is a student, then It is not the case that It is not the case that a equals g(v)"
"(∃v (Mortal(v) ∧ w = g(w)) ∧ (Odd(c) → ¬Subset(v,0)))","There exists v such that v is mortal and w equals g(w) and if c is odd, then It is not the case that v is a subset of 0"
"ParentOf(u,w)",U is a parent of w
"(Likes(v,u) ↔ Friend(v,w))",V likes u if and only if v is a friend of w
"Knows(z,0)",Z knows 0
"∀y ((Student(2) ↔ Even(x)) ∧ Less(w,x))","For every y, 2 is a student if and only if x is even and w is less than x"
∀v ¬∃w (Mortal(w) ∧ u = z),"For every v, It is not the case that There exists w such that w is mortal and u equals z"
"((Member(g(x),f(0)) ↔ ¬Likes(g(z),u)) ∨ ∀z (Cat(z) → ¬Equal(z,2)))","G(x) is a member of f(0) if and only if It is not the case that g(z) likes u or For every z, if z is a cat, then It is not the case that z is equal to 2"
"¬(Even(x) ∨ (Less(g(u),u) ∨ Knows(g(w),b)))",It is not the case that x is even or g(u) is less than u or g(w) knows b
"Subset(2,c)",2 is a subset of c
"(v = v ↔ ∀u (Dog(u) → Subset(u,y)))","V equals v if and only if For every u, if u is a dog, then u is a subset of y"
"(∃u ¬Professor(w) → ¬Friend(y,f(v)))","If There exists u, It is not the case that w is a professor, then It is not the case that y is a friend of f(v)"
(∃z ¬Human(y) → ∀y (Student(y) → w = c)),"If There exists z, It is not the case that y is a human, then For every y, if y is a student, then w equals c"
"∃y ∀v (Even(v) → Member(c,w))","There exists y, For every v, if v is even, then c is a member of w"
∀v ∀x (Odd(x) → z = x),"For every v, For every x, if x is odd, then z equals x"
∀y (∃w (Human(w) ∧ f(u) = y) ↔ ∃y (Mortal(y) ∧ Dog(1))),"For every y, There exists w such that w is a human and f(u) equals y if and only if There exists y such that y is mortal and 1 is a dog"
"¬¬(Friend(w,2) ∨ Student(g(f(z))))",It is not the case that It is not the case that w is a friend of 2 or g(f(z)) is a student
"¬(Human(f(f(g(w)))) ↔ ¬Greater(y,b))",It is not the case that f(f(g(w))) is a human if and only if It is not the case that y is greater than b
∀z (Prime(z) → Odd(w)),"For every z, if z is prime, then w is odd"
"∃v (Even(v) ∧ (Equal(y,h(y)) → ∀z (Dog(z) → Mortal(a))))","There exists v such that v is even and if y is equal to h(y), then For every z, if z is a dog, then a is mortal"
(Student(x) ∨ v = 0),X is a student or v equals 0
∀y ∃u (Cat(u) ∧ Odd(x)),"For every y, There exists u such that u is a cat and x is odd"
¬((Professor(y) → Mortal(f(u))) ∧ Odd(h(z))),"It is not the case that if y is a professor, then f(u) is mortal and h(z) is odd"
¬¬Cat(z),It is not the case that It is not the case that z is a cat
∀z (Human(u) ↔ ¬u = f(y)),"For every z, u is a human if and only if It is not the case that u equals f(y)"
"(Even(x) ↔ ¬Less(g(f(1)),u))",X is even if and only if It is not the case that g(f(1)) is less than u
"∃z Member(a,f(w))","There exists z, a is a member of f(w)"
"¬Subset(u,x)",It is not the case that u is a subset of x
(Odd(b) ↔ (¬Dog(2) ↔ ∀y (Mortal(y) → Dog(x)))),"B is odd if and only if It is not the case that 2 is a dog if and only if For every y, if y is mortal, then x is a dog"
"Likes(h(0),w)",H(0) likes w
"∃z (¬Loves(w,u) ∨ Even(z))","There exists z, It is not the case that w loves u or z is even"
∃w Cat(c),"There exists w, c is a cat"
"((∃w (Animal(w) ∧ Greater(0,h(u))) ↔ (Dog(h(g(z))) ∧ Subset(w,u))) → (¬Animal(v) ∧ x = u))","If There exists w such that w is an animal and 0 is greater than h(u) if and only if h(g(z)) is a dog and w is a subset of u, then It is not the case that v is an animal and x equals u"
¬x = a,It is not the case that x equals a
"Subset(y,z)",Y is a subset of z
¬h(0) = f(c),It is not the case that h(0) equals f(c)
¬¬v = f(g(v)),It is not the case that It is not the case that v equals f(g(v))
"Likes(f(x),h(w))",F(x) likes h(w)
"∀z (Professor(z) → ∃y (u = v ↔ Member(f(u),g(w))))","For every z, if z is a professor, then There exists y, u equals v if and only if f(u) is a member of g(w)"
∃z v = z,"There exists z, v equals z"
∃y (Dog(y) ∧ (∀x (Human(x) → b = w) ∧ 1 = u)),"There exists y such that y is a dog and For every x, if x is a human, then b equals w and 1 equals u"
"Likes(x,g(z))",X likes g(z)
"¬((g(v) = h(x) ∧ Professor(a)) ∨ ¬Greater(y,g(z)))",It is not the case that g(v) equals h(x) and a is a professor or It is not the case that y is greater than g(z)
"∃y (¬Member(b,c) ∨ Friend(w,z))","There exists y, It is not the case that b is a member of c or w is a friend of z"
¬∃y (Animal(y) ∧ (h(z) = u ∨ w = z)),It is not the case that There exists y such that y is an animal and h(z) equals u or w equals z
∃y (Prime(y) ∧ ((Even(v) ∧ a = y) ∧ ∀w Professor(b))),"There exists y such that y is prime and v is even and a equals y and For every w, b is a professor"
"((u = x ∨ v = y) → ((Friend(x,v) → Animal(f(y))) ↔ Less(g(w),1)))","If u equals x or v equals y, then if x is a friend of v, then f(y) is an animal if and only if g(w) is less than 1"
"(∀w ¬Subset(w,2) ∨ Student(z))","For every w, It is not the case that w is a subset of 2 or z is a student"
"Subset(w,c)",W is a subset of c
"(∃y (Even(y) ∧ Student(2)) ∧ Greater(c,0))",There exists y such that y is even and 2 is a student and c is greater than 0
"¬(¬Mortal(g(h(w))) ↔ Less(z,c))",It is not the case that It is not the case that g(h(w)) is mortal if and only if z is less than c
"(¬1 = b → ∃z (Cat(z) ∧ Likes(z,g(x))))","If It is not the case that 1 equals b, then There exists z such that z is a cat and z likes g(x)"
"∃v (Dog(v) ∧ ¬∀u (Dog(u) → Loves(v,u)))","There exists v such that v is a dog and It is not the case that For every u, if u is a dog, then v loves u"
"(Member(0,g(w)) → ∃y (Human(y) ∧ (u = f(2) → Loves(z,w))))","If 0 is a member of g(w), then There exists y such that y is a human and if u equals f(2), then z loves w"
"∀z (Student(z) → (Cat(z) ∨ ¬Member(1,f(2))))","For every z, if z is a student, then z is a cat or It is not the case that 1 is a member of f(2)"
"∃x (Student(x) ∧ (Cat(x) → Loves(z,1)))","There exists x such that x is a student and if x is a cat, then z loves 1"
"(h(g(v)) = 0 ∨ (∀w Dog(b) ↔ Subset(0,v)))","H(g(v)) equals 0 or For every w, b is a dog if and only if 0 is a subset of v"
∀y (Even(y) → ∃u (Student(u) ∧ Animal(x))),"For every y, if y is even, then There exists u such that u is a student and x is an animal"
(Animal(c) ↔ ¬(h(u) = g(v) ∧ Dog(h(y)))),C is an animal if and only if It is not the case that h(u) equals g(v) and h(y) is a dog
"∀u ∀y (Human(y) → ¬Loves(2,w))","For every u, For every y, if y is a human, then It is not the case that 2 loves w"
"¬¬(Dog(a) ∧ Likes(z,1))",It is not the case that It is not the case that a is a dog and z likes 1
(Prime(v) ∨ Even(b)),V is prime or b is even
"(g(v) = 2 → ¬(Member(x,0) ∨ w = y))","If g(v) equals 2, then It is not the case that x is a member of 0 or w equals y"
(Human(z) ∨ ∃v (Professor(v) ∧ (Prime(w) ↔ Even(g(2))))),Z is a human or There exists v such that v is a professor and w is prime if and only if g(2) is even
(∀u (Cat(u) → Professor(z)) ∧ Prime(v)),"For every u, if u is a cat, then z is a professor and v is prime"
"¬¬∃u Less(w,x)","It is not the case that It is not the case that There exists u, w is less than x"
"Greater(g(v),c)",G(v) is greater than c
"∃u Knows(f(z),x)","There exists u, f(z) knows x"
"Equal(f(g(h(w))),h(v))",F(g(h(w))) is equal to h(v)
"(Knows(a,u) ∧ ∀y (Cat(y) → ∃u (Odd(u) ∧ v = z)))","A knows u and For every y, if y is a cat, then There exists u such that u is odd and v equals z"
"Friend(f(u),b)",F(u) is a friend of b
(Dog(y) → ∃u ¬Mortal(b)),"If y is a dog, then There exists u, It is not the case that b is mortal"
∃y (Professor(y) ∧ ∃u (Odd(1) ∨ Professor(w))),"There exists y such that y is a professor and There exists u, 1 is odd or w is a professor"
"∃u (∀x (Odd(x) → Greater(v,h(z))) ∧ (Subset(a,c) → Loves(y,h(y))))","There exists u, For every x, if x is odd, then v is greater than h(z) and if a is a subset of c, then y loves h(y)"
∃z (Professor(z) ∧ Professor(f(x))),There exists z such that z is a professor and f(x) is a professor
¬Even(g(z)),It is not the case that g(z) is even
"¬¬¬ParentOf(x,b)",It is not the case that It is not the case that It is not the case that x is a parent of b
"∃u (Student(u) ∧ Member(f(u),x))",There exists u such that u is a student and f(u) is a member of x
(∃x v = w ↔ (¬Cat(x) ∨ Mortal(g(v)))),"There exists x, v equals w if and only if It is not the case that x is a cat or g(v) is mortal"
(Human(y) ↔ Even(v)),Y is a human if and only if v is even
"(y = b ∨ ((Subset(g(v),g(c)) → Student(w)) ∨ (u = x ∨ Knows(x,f(x)))))","Y equals b or if g(v) is a subset of g(c), then w is a student or u equals x or x knows f(x)"
"∀v ∃x Subset(y,1)","For every v, There exists x, y is a subset of 1"
¬x = z,It is not the case that x equals z
"¬((Animal(v) ∧ Dog(2)) ∨ Likes(0,y))",It is not the case that v is an animal and 2 is a dog or 0 likes y
∃v (Human(v) ∧ x = v),There exists v such that v is a human and x equals v
"∃y (Mortal(y) ∧ (∀y Odd(g(v)) ↔ ¬Friend(f(v),0)))","There exists y such that y is mortal and For every y, g(v) is odd if and only if It is not the case that f(v) is a friend of 0"
"(((Cat(g(w)) → ParentOf(g(w),w)) ∨ Professor(v)) ∨ ∃u (Mortal(u) ∧ Student(x)))","If g(w) is a cat, then g(w) is a parent of w or v is a professor or There exists u such that u is mortal and x is a student"
∀x (Human(x) → Animal(f(y))),"For every x, if x is a human, then f(y) is an animal"
"(∃v (Cat(v) ∧ (0 = 1 → Greater(h(2),z))) ∧ Friend(f(z),v))","There exists v such that v is a cat and if 0 equals 1, then h(2) is greater than z and f(z) is a friend of v"
"∃y (Dog(y) ∧ (Loves(g(w),y) ∧ ∃w (Cat(w) ∧ Student(f(x)))))",There exists y such that y is a dog and g(w) loves y and There exists w such that w is a cat and f(x) is a student
"(((Knows(v,f(z)) ↔ Animal(1)) ↔ b = u) → ¬Odd(w))","If v knows f(z) if and only if 1 is an animal if and only if b equals u, then It is not the case that w is odd"
"Likes(u,h(u))",U likes h(u)
"∀z (Student(z) → ((Greater(x,h(c)) ∧ Odd(u)) → z = f(v)))","For every z, if z is a student, then if x is greater than h(c) and u is odd, then z equals f(v)"
∃x (Even(x) ∧ ∀x (Cat(x) → ∀z (Even(z) → Prime(c)))),"There exists x such that x is even and For every x, if x is a cat, then For every z, if z is even, then c is prime"
¬∀u (Mortal(u) → ¬y = y),"It is not the case that For every u, if u is mortal, then It is not the case that y equals y"
"Subset(2,g(w))",2 is a subset of g(w)
"∀z (Even(z) → ((Member(a,y) ↔ Student(f(u))) → w = w))","For every z, if z is even, then if a is a member of y if and only if f(u) is a student, then w equals w"
"∀u ¬Knows(w,w)","For every u, It is not the case that w knows w"
"(∃v (Less(c,2) ∨ Even(x)) ↔ Odd(u))","There exists v, c is less than 2 or x is even if and only if u is odd"
"¬¬Knows(f(z),w)",It is not the case that It is not the case that f(z) knows w
"∃y Likes(2,z)","There exists y, 2 likes z"
"(∃v (Even(v) ∧ (Odd(g(w)) ↔ Greater(y,h(z)))) → Prime(0))","If There exists v such that v is even and g(w) is odd if and only if y is greater than h(z), then 0 is prime"
∃w Cat(g(w)),"There exists w, g(w) is a cat"
"¬∃u (Odd(u) ∧ (Student(u) → Greater(u,z)))","It is not the case that There exists u such that u is odd and if u is a student, then u is greater than z"
"(Student(u) → ∀w (Human(w) → (Less(w,z) ∨ Cat(b))))","If u is a student, then For every w, if w is a human, then w is less than z or b is a cat"
(y = h(h(1)) ↔ a = b),Y equals h(h(1)) if and only if a equals b
"(¬∀x (Odd(x) → Friend(2,a)) ∨ Knows(x,u))","It is not the case that For every x, if x is odd, then 2 is a friend of a or x knows u"
"(¬Dog(f(y)) ∧ Subset(z,g(u)))",It is not the case that f(y) is a dog and z is a subset of g(u)
¬∀z (Dog(z) → ∀z (Even(z) → Student(2))),"It is not the case that For every z, if z is a dog, then For every z, if z is even, then 2 is a student"
(Dog(u) → Cat(u)),"If u is a dog, then u is a cat"
"¬Member(x,0)",It is not the case that x is a member of 0
∀u ¬u = v,"For every u, It is not the case that u equals v"
"(∀x (Dog(x) → (Member(b,g(v)) ↔ Equal(h(z),v))) ∨ (Greater(b,f(u)) ∨ ∃w Greater(u,z)))","For every x, if x is a dog, then b is a member of g(v) if and only if h(z) is equal to v or b is greater than f(u) or There exists w, u is greater than z"
¬∀y (Mortal(y) → ¬Odd(v)),"It is not the case that For every y, if y is mortal, then It is not the case that v is odd"
¬¬(v = g(v) ∨ w = c),It is not the case that It is not the case that v equals g(v) or w equals c
"(∀x (Odd(x) → ∀u Animal(0)) ∨ Likes(g(y),f(z)))","For every x, if x is odd, then For every u, 0 is an animal or g(y) likes f(z)"
"(Greater(w,h(x)) ∨ ((z = v ↔ Less(c,z)) ∨ w = x))",W is greater than h(x) or z equals v if and only if c is less than z or w equals x
"((¬Student(a) ∧ (Even(w) ∧ Greater(x,z))) ↔ ¬Dog(h(0)))",It is not the case that a is a student and w is even and x is greater than z if and only if It is not the case that h(0) is a dog
"∀u (∀u (Professor(u) → Loves(f(z),1)) ∨ ¬Even(g(z)))","For every u, For every u, if u is a professor, then f(z) loves 1 or It is not the case that g(z) is even"
∃u (Dog(u) ∧ ∀y Mortal(h(u))),"There exists u such that u is a dog and For every y, h(u) is mortal"
¬¬Even(a),It is not the case that It is not the case that a is even
"∃w (Prime(w) ∧ ∀y (Professor(y) → (Equal(b,c) ↔ Prime(v))))","There exists w such that w is prime and For every y, if y is a professor, then b is equal to c if and only if v is prime"
"Equal(y,h(z))",Y is equal to h(z)
"(Less(f(f(y)),y) ∧ Loves(0,1))",F(f(y)) is less than y and 0 loves 1
"¬∀x (v = h(x) ∨ Likes(x,x))","It is not the case that For every x, v equals h(x) or x likes x"
∃z ∃y Even(w),"There exists z, There exists y, w is even"
f(x) = 2,F(x) equals 2
"¬∃z ∃w Loves(a,w)","It is not the case that There exists z, There exists w, a loves w"
"(Prime(y) ∧ ¬Greater(g(x),a))",Y is prime and It is not the case that g(x) is greater than a
Human(g(w)),G(w) is a human
c = b,C equals b
(∀y Mortal(y) → u = a),"If For every y, y is mortal, then u equals a"
"(¬x = g(x) → Greater(v,c))","If It is not the case that x equals g(x), then v is greater than c"
"(∀v (Professor(v) → ∃x (Animal(x) ∧ Cat(x))) ∧ (Likes(1,h(y)) → u = x))","For every v, if v is a professor, then There exists x such that x is an animal and x is a cat and if 1 likes h(y), then u equals x"
f(u) = u,F(u) equals u
"(Cat(0) ∧ ¬¬ParentOf(u,x))",0 is a cat and It is not the case that It is not the case that u is a parent of x
"(¬(Human(0) → Friend(h(f(w)),x)) → ∃v (Dog(v) ∧ ¬ParentOf(g(v),y)))","If It is not the case that if 0 is a human, then h(f(w)) is a friend of x, then There exists v such that v is a dog and It is not the case that g(v) is a parent of y"
¬((x = a ↔ Professor(g(0))) ∧ ¬f(u) = z),It is not the case that x equals a if and only if g(0) is a professor and It is not the case that f(u) equals z
"¬(Odd(h(v)) ∨ ¬Friend(x,a))",It is not the case that h(v) is odd or It is not the case that x is a friend of a
"(Mortal(u) → (Subset(b,h(u)) ↔ Even(z)))","If u is mortal, then b is a subset of h(u) if and only if z is even"
"Member(c,b)",C is a member of b
¬(¬Even(g(z)) ∧ ∀w v = f(c)),"It is not the case that It is not the case that g(z) is even and For every w, v equals f(c)"
"(Animal(x) ∧ ParentOf(g(v),h(w)))",X is an animal and g(v) is a parent of h(w)
